"Ticker","Nome","Negócios","Última (R$)","Variação"
"GGPS3","GPS","1.370.000","14,29","+0,70%"
"GRND3","Grendene","1.368.900","5,03","+0,80%"
"ENJU3","Enjoei","1.359.600","1,05","+3,96%"
"ODPV3","Odontoprev","1.359.200","11,96","+1,87%"
"BRFS3","BRF","1.349.100","20,74","-0,14%"
"IGTI11","Iguatemi","1.320.900","20,73","+0,53%"
"IGTI11","Jereissati Participações","1.320.900","20,73","+0,53%"
"AZEV3","Azevedo & Travassos","1.309.600","0,54","-1,82%"
"NEOE3","Neoenergia","1.289.900","24,32","+3,49%"
"ONCO3","Oncoclínicas","1.264.400","5,49","+1,67%"
"ARML3","Armac","1.180.300","3,70","-2,89%"
"SAPR4","Sanepar","1.170.700","6,64","+0,45%"
"HBOR3","Helbor","1.106.800","2,74","+3,40%"
"CURY3","Cury","1.103.900","28,92","+2,34%"
"BRSR6","Banrisul","1.094.900","10,80","-0,74%"
"CBAV3","CBA","1.039.700","4,65","-0,43%"
"TTEN3","3tentos","1.032.300","13,58","-0,51%"
"PSSA3","Porto Seguro","1.007.800","51,11","+0,22%"
"QUAL3","Qualicorp","965.500","1,62","+1,25%"
"MILS3","Mills","934.200","11,34","+3,75%"
"SAPR11","Sanepar","927.500","34,42","+0,91%"
"EZTC3","EZTEC","922.900","13,28","+1,53%"
"TAEE11","Taesa","915.500","33,37","+0,21%"
"BPAN4","Banco Pan","893.600","7,77","+0,26%"
"ISAE4","ISA Energia","858.700","22,25","+0,27%"
"POSI3","Positivo","844.600","4,05","-1,46%"
"GUAR3","Guararapes","842.100","7,56","+1,89%"
"PLPL3","Plano&Plano","823.400","13,13","+0,61%"
"KEPL3","Kepler Weber","820.400","7,02","+0,00%"
"BMGB4","Banco BMG","802.300","3,43","+2,39%"
"EGIE3","Engie","772.500","41,81","-0,45%"
"MYPK3","Iochpe-Maxion","758.200","14,20","-0,07%"
"LJQQ3","Lojas Quero-Quero","744.500","2,44","+0,00%"
"JALL3","Jalles Machado","719.600","3,36","-1,75%"
"ALPA4","Alpargatas","687.700","8,42","+0,84%"
"LAVV3","Lavvi Incorporadora","677.000","12,02","+2,56%"
"AZEV4","Azevedo & Travassos","642.400","0,55","+0,00%"
"RCSL3","Recrusul","640.600","1,83","-1,61%"
"ALUP11","Alupar","633.400","29,50","+1,06%"
"FIQE3","Unifique","627.500","3,70","+3,64%"
"CPFE3","CPFL Energia","623.800","37,60","+0,45%"
"MDNE3","Moura Dubeux","604.000","21,82","+2,11%"
"VVEO3","Viveo","595.700","1,11","+2,78%"
"BMOB3","Bemobi","584.000","20,39","+0,10%"
"AZZA3","Arezzo","582.700","35,65","+1,39%"
"MDIA3","M. Dias Branco","565.900","24,86","+1,10%"
"IRBR3","IRB Brasil RE","532.900","44,71","-0,42%"
"GFSA3","Gafisa","529.900","16,00","+0,63%"
"ELET6","Eletrobras","510.900","41,14","-0,12%"
"FRAS3","Fras-le","507.800","23,19","+2,07%"
"LIGT3","Light","481.200","5,92","-1,66%"
"BRST3","Brisanet","467.100","2,67","+1,14%"
"TFCO4","Track & Field","409.100","14,23","+0,42%"
"TUPY3","Tupy","405.100","16,21","-1,10%"
"SEER3","Ser Educacional","394.900","8,00","+2,56%"
"LOGG3","LOG CP","392.800","20,54","+1,38%"
"SYNE3","SYN","391.100","6,80","+0,89%"
"ORVR3","Orizon","387.900","47,76","+0,82%"
"HBRE3","HBR Realty","381.600","3,33","+1,52%"
"FESA4","Ferbasa","379.600","6,59","-0,30%"
"ZAMP3","Zamp","374.600","3,43","-1,72%"
"JSLG3","JSL","361.900","5,22","+0,38%"
"SHUL4","Schulz","356.700","5,01","-0,40%"
"ITUB3","Itaú Unibanco","356.000","30,98","+0,58%"
"DASA3","Dasa","355.500","1,24","+1,64%"
"RANI3","Irani","353.400","7,21","+1,41%"
"MTRE3","Mitre Realty","352.800","3,69","-0,27%"
"VULC3","Vulcabras","344.100","18,30","+0,88%"
"MLAS3","Multilaser","332.400","1,02","+0,00%"
"PORT3","Wilson Sons","327.400","17,65","+0,46%"
"PINE4","Banco Pine","318.200","5,99","-1,32%"
"SAPR3","Sanepar","309.600","7,67","+2,13%"
"PRNR3","Priner","306.400","15,12","+0,27%"
"OPCT3","OceanPact","304.100","6,25","+0,00%"
"LPSB3","Lopes","283.800","1,41","+0,00%"
"WIZC3","Wiz Soluções","255.800","7,26","+2,25%"
"ABCB4","Banco ABC Brasil","252.800","20,47","+0,54%"
"BLAU3","Blau Farmacêutica","250.600","12,35","+2,92%"
"KLBN3","Klabin","249.500","3,77","-0,79%"
"TRIS3","Trisul","247.300","6,17","+1,65%"
"PTBL3","Portobello","247.000","3,81","+1,87%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","235.800","2,07","+0,98%"
"MATD3","Mater Dei","221.700","4,30","-1,83%"
"BRBI11","BR Partners","220.800","15,56","+0,78%"
"VLID3","Valid","207.700","21,93","+1,81%"
"TGMA3","Tegma","203.500","35,20","+3,07%"
"POMO3","Marcopolo","191.700","6,53","-0,91%"
"LEVE3","Mahle Metal Leve","187.600","28,19","+0,00%"
"ESPA3","Espaçolaser","174.500","1,01","-1,94%"
"SOJA3","Boa Safra Sementes","166.600","10,34","-0,58%"
"PMAM3","Paranapanema","163.900","1,67","+0,60%"
"PDGR3","PDG Realty","160.300","0,22","+0,00%"
"USIM3","Usiminas","157.100","4,22","+0,72%"
"PNVL3","Dimed","147.000","9,19","-0,33%"
"SCAR3","São Carlos","135.300","17,96","+0,34%"
"DESK3","Desktop","132.100","8,12","+0,12%"
"SANB4","Banco Santander","131.500","13,79","-0,14%"
"ITSA3","Itaúsa","126.400","10,27","-0,29%"
"CSED3","Cruzeiro do Sul Educacional","123.000","4,68","-0,21%"
"PFRM3","Profarma","119.500","7,70","+1,05%"
"VITT3","Vittia","118.600","4,90","+2,30%"
"MELK3","Melnick","118.400","3,29","-0,60%"
"MEAL3","IMC Alimentação","110.700","1,31","+0,77%"
"ALPK3","Estapar","110.600","2,94","+0,68%"
"AMAR3","Lojas Marisa","104.300","1,28","+1,59%"
"ETER3","Eternit","82.600","3,66","-1,08%"
"RNEW4","Renova Energia","82.100","1,15","+0,88%"
"AGRO3","BrasilAgro","68.700","20,45","+0,69%"
"ROMI3","Indústrias ROMI","68.400","8,33","+0,73%"
"SEQL3","Sequoia Logística","66.500","1,00","+1,01%"
"TAEE4","Taesa","64.600","11,17","+0,27%"
"SANB3","Banco Santander","63.700","12,64","+0,72%"
"CAMB3","Cambuci","63.000","9,13","-1,51%"
"UNIP6","Unipar","57.100","54,87","+0,55%"
"DMVF3","D1000 Varejo Farma","55.600","4,82","+0,63%"
"ALLD3","Allied","54.200","6,95","+0,72%"
"AVLL3","Alphaville","52.400","1,72","+0,00%"
"TAEE3","Taesa","49.300","11,09","+0,45%"
"DEXP3","Dexxos","47.400","8,53","+1,31%"
"AMBP3","Ambipar","46.000","123,64","-1,10%"
"AGXY3","AgroGalaxy","40.500","6,30","+3,11%"
"AERI3","Aeris Energy","39.600","4,28","-0,47%"
"IGTI3","Jereissati Participações","38.900","2,48","+1,64%"
"IGTI3","Iguatemi","38.900","2,48","+1,64%"
"CSUD3","CSU Cardsystem","38.700","17,50","+1,45%"
"WHRL4","Whirlpool","36.900","4,19","+0,48%"
"CMIG3","Cemig","34.300","15,02","+1,21%"
"TCSA3","Tecnisa","33.500","1,65","-1,79%"
"TASA3","Taurus","32.800","5,73","-1,04%"
"RAPT3","Randon","32.500","6,80","-2,16%"
"RNEW3","Renova Energia","31.800","1,20","+2,56%"
"LAND3","Terra Santa","29.500","10,94","+3,89%"
"PDTC3","Padtec","29.300","0,99","-1,98%"
"AMOB3","Automob","28.100","11,12","+0,18%"
"EALT4","Electro Aço Altona","26.000","13,38","+0,22%"
"BOBR4","Bombril","25.700","1,35","+0,00%"
"COCE5","Coelce","23.900","28,00","+0,43%"
"BMEB4","Banco Mercantil do Brasil","20.400","37,80","-3,08%"
"WHRL3","Whirlpool","20.200","4,03","-1,23%"
"VIVR3","Viver","19.800","0,82","+0,00%"
"HAGA4","Haga","19.700","1,18","+2,61%"
"BIOM3","Biomm","18.900","7,12","-3,65%"
"NGRD3","Neogrid","18.500","25,50","+0,00%"
"BEES3","Banestes","18.300","8,46","+0,71%"
"DOTZ3","Dotz","17.600","5,15","+3,83%"
"TECN3","Technos","17.200","6,14","+0,33%"
"BRAP3","Bradespar","17.100","14,88","+0,27%"
"EUCA4","Eucatex","16.700","16,72","+2,58%"
"BIED3","BIED3","16.600","3,29","-8,36%"
"REAG3","REAG3","15.400","4,00","+0,00%"
"LUPA3","Lupatech","15.000","1,16","+0,00%"
"SHOW3","Time For Fun","14.900","6,48","+1,09%"
"RSID3","Rossi Residencial","14.900","2,04","+3,03%"
"GGBR3","Gerdau","14.800","14,68","-1,48%"
"TPIS3","Triunfo","14.600","3,98","+0,00%"
"JFEN3","João Fortes","14.500","1,52","-0,65%"
"GOAU3","Metalúrgica Gerdau","14.400","9,41","-0,11%"
"LOGN3","Log-In","12.300","25,42","+4,14%"
"TRAD3","Traders Club","11.800","7,02","-0,14%"
"AALR3","Alliança","11.800","4,60","-0,65%"
"OIBR4","Oi","11.700","7,69","-1,16%"
"FICT3","Fictor Alimentos","11.100","3,46","+1,76%"
"UCAS3","Unicasa","9.800","1,38","-0,72%"
"LVTC3","WDC Networks","9.600","3,62","+2,84%"
"DEXP4","Dexxos","9.500","8,42","-0,12%"
"ENGI4","Energisa","9.300","8,44","-0,12%"
"INEP3","Inepar","9.000","1,76","-2,22%"
"VSTE3","LE LIS BLANC","8.600","5,80","-2,52%"
"WLMM4","WLM","8.000","21,82","-5,09%"
"AMAR11","Lojas Marisa","6.100","0,21","-4,55%"
"ALUP4","Alupar","6.000","9,48","+0,85%"
"BRSR3","Banrisul","5.900","11,65","+0,00%"
